year,games_type,host_country,host_city,athletes,teams,competitions,country,gold,silver,bronze
2022,Winter,China,Beijing,2834,91,109,Australia,1,2,1
2022,Winter,China,Beijing,2834,91,109,Austria,7,7,4
2022,Winter,China,Beijing,2834,91,109,Belarus,0,2,0
2022,Winter,China,Beijing,2834,91,109,Belgium,1,0,1
2022,Winter,China,Beijing,2834,91,109,Canada,4,8,14
2022,Winter,China,Beijing,2834,91,109,Czechia,1,0,1
2022,Winter,China,Beijing,2834,91,109,Estonia,0,0,1
2022,Winter,China,Beijing,2834,91,109,Finland,2,2,4
2022,Winter,China,Beijing,2834,91,109,France,5,7,2
2022,Winter,China,Beijing,2834,91,109,Germany,12,10,5
2022,Winter,China,Beijing,2834,91,109,Hungary,1,0,2
2022,Winter,China,Beijing,2834,91,109,Italy,2,7,8
2022,Winter,China,Beijing,2834,91,109,Japan,3,6,9
2022,Winter,China,Beijing,2834,91,109,Latvia,0,0,1
2022,Winter,China,Beijing,2834,91,109,Netherlands,8,5,4
2022,Winter,China,Beijing,2834,91,109,New Zealand,2,1,0
2022,Winter,China,Beijing,2834,91,109,Norway,16,8,13
2022,Winter,China,Beijing,2834,91,109,People's Republic of China,9,4,2
2022,Winter,China,Beijing,2834,91,109,Poland,0,0,1
2022,Winter,China,Beijing,2834,91,109,ROC,6,12,14
2022,Winter,China,Beijing,2834,91,109,Republic of Korea,2,5,2
2022,Winter,China,Beijing,2834,91,109,Slovakia,1,0,1
2022,Winter,China,Beijing,2834,91,109,Slovenia,2,3,2
2022,Winter,China,Beijing,2834,91,109,Spain,0,1,0
2022,Winter,China,Beijing,2834,91,109,Sweden,8,5,5
2022,Winter,China,Beijing,2834,91,109,Switzerland,7,2,6
2022,Winter,China,Beijing,2834,91,109,Ukraine,0,1,0
2022,Winter,China,Beijing,2834,91,109,United Kingdom,1,1,0
2022,Winter,China,Beijing,2834,91,109,United States of America,8,10,7
2020,Summer,Japan,Tokyo,11420,206,339,Argentina,0,1,2
2020,Summer,Japan,Tokyo,11420,206,339,Armenia,0,2,2
2020,Summer,Japan,Tokyo,11420,206,339,Australia,17,7,22
2020,Summer,Japan,Tokyo,11420,206,339,Austria,1,1,5
2020,Summer,Japan,Tokyo,11420,206,339,Azerbaijan,0,3,4
2020,Summer,Japan,Tokyo,11420,206,339,Bahamas,2,0,0
2020,Summer,Japan,Tokyo,11420,206,339,Bahrain,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Belarus,1,3,3
2020,Summer,Japan,Tokyo,11420,206,339,Belgium,3,1,3
2020,Summer,Japan,Tokyo,11420,206,339,Bermuda,1,0,0
2020,Summer,Japan,Tokyo,11420,206,339,Botswana,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Brazil,7,6,8
2020,Summer,Japan,Tokyo,11420,206,339,Bulgaria,3,1,2
2020,Summer,Japan,Tokyo,11420,206,339,Burkina Faso,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Canada,7,7,10
2020,Summer,Japan,Tokyo,11420,206,339,Chinese Taipei,2,4,6
2020,Summer,Japan,Tokyo,11420,206,339,Colombia,0,4,1
2020,Summer,Japan,Tokyo,11420,206,339,Croatia,3,3,2
2020,Summer,Japan,Tokyo,11420,206,339,Cuba,7,3,5
2020,Summer,Japan,Tokyo,11420,206,339,Czechia,4,4,3
2020,Summer,Japan,Tokyo,11420,206,339,Côte d'Ivoire,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Denmark,3,4,4
2020,Summer,Japan,Tokyo,11420,206,339,Dominican Republic,0,3,2
2020,Summer,Japan,Tokyo,11420,206,339,Ecuador,2,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Egypt,1,1,4
2020,Summer,Japan,Tokyo,11420,206,339,Estonia,1,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Ethiopia,1,1,2
2020,Summer,Japan,Tokyo,11420,206,339,Fiji,1,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Finland,0,0,2
2020,Summer,Japan,Tokyo,11420,206,339,France,10,12,11
2020,Summer,Japan,Tokyo,11420,206,339,Georgia,2,5,1
2020,Summer,Japan,Tokyo,11420,206,339,Germany,10,11,16
2020,Summer,Japan,Tokyo,11420,206,339,Ghana,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Greece,2,1,1
2020,Summer,Japan,Tokyo,11420,206,339,Grenada,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,"Hong Kong, China",1,2,3
2020,Summer,Japan,Tokyo,11420,206,339,Hungary,6,7,7
2020,Summer,Japan,Tokyo,11420,206,339,India,1,2,4
2020,Summer,Japan,Tokyo,11420,206,339,Indonesia,1,1,3
2020,Summer,Japan,Tokyo,11420,206,339,Ireland,2,0,2
2020,Summer,Japan,Tokyo,11420,206,339,Islamic Republic of Iran,3,2,2
2020,Summer,Japan,Tokyo,11420,206,339,Israel,2,0,2
2020,Summer,Japan,Tokyo,11420,206,339,Italy,10,10,20
2020,Summer,Japan,Tokyo,11420,206,339,Jamaica,4,1,4
2020,Summer,Japan,Tokyo,11420,206,339,Japan,27,14,17
2020,Summer,Japan,Tokyo,11420,206,339,Jordan,0,1,1
2020,Summer,Japan,Tokyo,11420,206,339,Kazakhstan,0,0,8
2020,Summer,Japan,Tokyo,11420,206,339,Kenya,4,4,2
2020,Summer,Japan,Tokyo,11420,206,339,Kosovo,2,0,0
2020,Summer,Japan,Tokyo,11420,206,339,Kuwait,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Kyrgyzstan,0,2,1
2020,Summer,Japan,Tokyo,11420,206,339,Latvia,1,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Lithuania,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Malaysia,0,1,1
2020,Summer,Japan,Tokyo,11420,206,339,Mexico,0,0,4
2020,Summer,Japan,Tokyo,11420,206,339,Moldova,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Mongolia,0,1,3
2020,Summer,Japan,Tokyo,11420,206,339,Morocco,1,0,0
2020,Summer,Japan,Tokyo,11420,206,339,Namibia,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Netherlands,10,12,14
2020,Summer,Japan,Tokyo,11420,206,339,New Zealand,7,6,7
2020,Summer,Japan,Tokyo,11420,206,339,Nigeria,0,1,1
2020,Summer,Japan,Tokyo,11420,206,339,North Macedonia,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Norway,4,2,2
2020,Summer,Japan,Tokyo,11420,206,339,People's Republic of China,38,32,19
2020,Summer,Japan,Tokyo,11420,206,339,Philippines,1,2,1
2020,Summer,Japan,Tokyo,11420,206,339,Poland,4,5,5
2020,Summer,Japan,Tokyo,11420,206,339,Portugal,1,1,2
2020,Summer,Japan,Tokyo,11420,206,339,Puerto Rico,1,0,0
2020,Summer,Japan,Tokyo,11420,206,339,Qatar,2,0,1
2020,Summer,Japan,Tokyo,11420,206,339,ROC,20,28,23
2020,Summer,Japan,Tokyo,11420,206,339,Republic of Korea,6,4,10
2020,Summer,Japan,Tokyo,11420,206,339,Romania,1,3,0
2020,Summer,Japan,Tokyo,11420,206,339,San Marino,0,1,2
2020,Summer,Japan,Tokyo,11420,206,339,Saudi Arabia,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Serbia,3,1,5
2020,Summer,Japan,Tokyo,11420,206,339,Slovakia,1,2,1
2020,Summer,Japan,Tokyo,11420,206,339,Slovenia,3,1,1
2020,Summer,Japan,Tokyo,11420,206,339,South Africa,1,2,0
2020,Summer,Japan,Tokyo,11420,206,339,Spain,3,8,6
2020,Summer,Japan,Tokyo,11420,206,339,Sweden,3,6,0
2020,Summer,Japan,Tokyo,11420,206,339,Switzerland,3,4,6
2020,Summer,Japan,Tokyo,11420,206,339,Syrian Arab Republic,0,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Thailand,1,0,1
2020,Summer,Japan,Tokyo,11420,206,339,Tunisia,1,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Turkey,2,2,9
2020,Summer,Japan,Tokyo,11420,206,339,Turkmenistan,0,1,0
2020,Summer,Japan,Tokyo,11420,206,339,Uganda,2,1,1
2020,Summer,Japan,Tokyo,11420,206,339,Ukraine,1,6,12
2020,Summer,Japan,Tokyo,11420,206,339,United Kingdom,22,20,22
2020,Summer,Japan,Tokyo,11420,206,339,United States of America,39,41,33
2020,Summer,Japan,Tokyo,11420,206,339,Uzbekistan,3,0,2
2020,Summer,Japan,Tokyo,11420,206,339,Venezuela,1,3,0
2018,Winter,Republic of Korea,PyeongChang,2833,92,102,Australia,0,2,1
2018,Winter,Republic of Korea,PyeongChang,2833,92,102,Austria,5,3,6
2018,Winter,Republic of Korea,PyeongChang,2833,92,102,Belarus,2,1,0
2018,Winter,Republic of Korea,PyeongChang,2833,92,102,Belgium,0,1,0
2018,Winter,Republic of Korea,PyeongChang,2833,92,102,Canada,11,8,10
